,enter,candle interval,resistance lines,resistance lines slopes,resistance lines diff,resistance lines diff slopes,resistance lines broke,resistance lines broke slopes,time,exit time,interval short sma,interval long sma,enter short sma slope,enter long sma slope,short long sma difference,enter RSI,positive RSI momentum,negative RSI momentum,RSI change,call or put,exit,price change
1,447.6499938964844,3,0,[],0,[],1,[-0.07000732421875],2021-08-27 09:30:00,2021-08-27 10:29:00,9,180,0.0,0.0,0.2076443481445267,63.72920388444881,0,0,0,c,449.2099914550781,1.55999755859375
2,449.29998779296875,3,1,[-0.010009765625],0,[],0,[],2021-08-27 10:27:00,2021-08-27 10:35:00,9,180,0.057628603333917755,0.0051326751708984375,2.2072730848523747,66.28757985290245,0.9393715133227403,11.747421906402565,-10.808050393079824,c,449.364990234375,0.06500244140625
3,449.29998779296875,3,1,[-0.010009765625],3,"[-0.1100006103515625, -0.10000101725260417, -0.095001220703125]",1,[-0.010009765625],2021-08-27 10:45:00,2021-08-27 11:17:00,9,180,-0.013962809244791667,0.0043316294361526765,2.0706056891547746,63.430501495117824,4.710007036581267,0.0,4.710007036581267,c,449.6499938964844,0.350006103515625
4,449.6099853515625,3,0,[],15,"[-0.1100006103515625, -0.10000101725260417, -0.0449981689453125, -0.035003662109375, -0.034998575846354164, -0.0349884033203125, -0.033748626708984375, -0.03249359130859375, -0.031500244140625, -0.029998779296875, -0.029164632161458332, -0.028125762939453125, -0.02625274658203125, -0.0250091552734375, -0.0225067138671875]",5,"[-0.115997314453125, -0.015770545372596152, -0.014545787464488636, -0.011111789279513888, -0.004289899553571429]",2021-08-27 11:33:00,2021-08-27 12:14:00,9,180,-0.009889051646718548,0.004900416059212552,2.0901176927354186,58.33690008993816,7.681237431107327,0.0,7.681237431107327,c,449.7850036621094,0.175018310546875
5,449.82000732421875,3,1,[-0.0150146484375],1,[-0.064971923828125],0,[],2021-08-27 12:12:00,2021-08-27 12:20:00,9,180,0.004055786135399507,0.005558621441014111,2.1560161166722196,58.8073159716177,1.018527288304881,0.3819290948316123,0.6365981934732687,c,449.7799987792969,-0.040008544921875
6,449.8599853515625,3,0,[],4,"[-0.040008544921875, -0.0150146484375, -0.01400146484375, -0.013326009114583334]",0,[],2021-08-27 12:21:00,2021-08-27 12:47:00,9,180,0.0021120424641089307,0.005496968018511931,2.131003950331035,59.13883030901928,4.569729179456047,2.5419678129049217,2.0277613665511254,c,449.93499755859375,0.07501220703125
7,450.0350036621094,3,0,[],1,[-0.05999755859375],0,[],2021-08-27 12:48:00,2021-08-27 12:56:00,9,180,0.007574010780081153,0.005835192084001998,2.166575585259295,61.04586129812479,3.792749555100677,0.0,3.792749555100677,c,450.0050048828125,-0.029998779296875
8,450.0899963378906,3,0,[],0,[],2,"[-0.024993896484375, -0.00750732421875]",2021-08-27 12:54:00,2021-08-27 13:44:00,9,180,0.005871469004907542,0.005895647401404049,2.155470153808608,62.584522581352786,3.30715148289665,1.7684901996686548,1.5386612832279951,c,450.3500061035156,0.260009765625
9,450.3500061035156,3,0,[],1,[-0.02399444580078125],0,[],2021-08-27 13:57:00,2021-08-27 14:05:00,9,180,-0.002982358580144743,0.006300232499941356,2.048245595296237,59.43916200681222,4.041413593784263,0.0,4.041413593784263,c,450.17999267578125,-0.170013427734375
10,450.1400146484375,3,1,[-0.009998321533203125],2,"[-0.031428745814732144, -0.00250244140625]",1,[-0.009998321533203125],2021-08-27 14:24:00,2021-08-27 14:44:00,9,180,-0.007387853548344639,0.005890363335816396,1.6566630350748142,48.82911822165956,4.446780965929662,3.297322298336603,1.1494586675930591,c,450.1549987792969,0.014984130859375
11,450.2200012207031,3,0,[],1,[-0.07000732421875],0,[],2021-08-27 14:42:00,2021-08-27 14:50:00,9,180,0.005350522642644743,0.006101331357947654,1.6359734429254331,52.26548764935838,3.5988724303079636,4.903640140796689,-1.3047677104887256,c,450.1400146484375,-0.079986572265625
12,450.2300109863281,3,0,[],2,"[-0.020001220703125, -0.0050048828125]",0,[],2021-08-27 14:54:00,2021-08-27 15:02:00,9,180,0.0021850585963370073,0.006012060658799278,1.5871721869575026,52.881557260649735,2.86125422726456,1.1549569016015084,1.7062973256630514,c,450.17999267578125,-0.050018310546875
13,450.2099914550781,3,1,[-0.010001046316964286],0,[],1,[-0.010001046316964286],2021-08-27 15:00:00,2021-08-27 15:32:00,9,180,-0.00029669867621527775,0.006027123908926215,1.5377669779460348,51.62507913474119,1.8144492485196864,3.07092737442823,-1.2564781259085436,c,450.3299865722656,0.1199951171875
14,450.44500732421875,3,0,[],3,"[-0.05999755859375, -0.0510009765625, -0.0487518310546875]",0,[],2021-08-27 15:42:00,2021-08-27 15:53:00,9,180,-0.0020548502552426525,0.006133629128129946,1.447199028862883,57.68181968002254,12.710094876815702,3.5936529623146285,9.116441914501074,c,450.2449951171875,-0.20001220703125
15,451.17999267578125,3,0,[],1,[-0.12750244140625],0,[],2021-08-30 09:30:00,2021-08-30 09:38:00,9,180,0.0,0.0,0.1880973161975703,70.51531711879656,0,0,0,c,450.760009765625,-0.41998291015625
16,451.1000061035156,3,0,[],0,[],0,[],2021-08-30 09:36:00,2021-08-30 09:44:00,9,180,-0.000870130425836477,0.0006531502003781497,0.17895763239852158,63.77671861347301,5.465669485600706,12.204267990924258,-6.7385985053235515,c,450.79998779296875,-0.300018310546875
17,450.9700012207031,3,1,[-0.0394439697265625],0,[],2,"[-0.0394439697265625, -0.019989013671875]",2021-08-30 09:45:00,2021-08-30 11:23:00,9,180,-0.001686732380443977,0.0006123201093739933,0.146741209484901,59.57851718375325,2.867395265382079,0.0,2.867395265382079,c,452.7699890136719,1.79998779296875
18,452.8599853515625,3,0,[],1,[-0.09124755859375],0,[],2021-08-30 11:30:00,2021-08-30 11:41:00,9,180,-9.460448960049284e-05,0.003796840686764982,1.7272172376844992,65.59430699666723,6.107980814862579,1.30723258903447,4.800748225828109,c,452.75,-0.1099853515625
19,452.8299865722656,3,1,[-0.017857142857142856],1,[-0.149993896484375],3,"[-0.017857142857142856, -0.016817959872159092, -0.0149993896484375]",2021-08-30 11:42:00,2021-08-30 12:08:00,9,180,-0.005983027707164486,0.003911097694395317,1.6177285233754333,61.48583873138262,3.8607138043929368,2.271445298506663,1.5892685058862739,c,452.7799072265625,-0.050079345703125
